workload	opcode	origin	visit	types	memory	action	type_idx	new_type	count	share_percent
TOTAL	G_SEXTLOAD	initial	first	i16,p0	i8@8@not_atomic@not_atomic	WidenScalar	0	i32	25	0.000966
TOTAL	G_SEXTLOAD	initial	revisit	i32,p0	i8@8@not_atomic@not_atomic	Legal	0	-	25	0.000966
TOTAL	G_STORE	initial	first	f128,p0	f128@128@not_atomic@not_atomic	Legal	0	-	25	0.000966
TOTAL	G_STORE	initial	first	f128,p0	s128@8@not_atomic@not_atomic	Legal	0	-	25	0.000966
TOTAL	G_ZEXTLOAD	initial	first	i64,p0	i16@64@not_atomic@not_atomic	Legal	0	-	25	0.000966
TOTAL	G_FCONSTANT	initial	first	f128	-	Legal	0	-	24	0.000927
TOTAL	G_FPTOUI	initial	first	i16,f32	-	WidenScalar	0	i32	24	0.000927
TOTAL	G_FPTOUI	initial	revisit	i32,f32	-	Legal	0	-	24	0.000927
TOTAL	G_VASTART	initial	first	p0	s256@64@not_atomic@not_atomic	Legal	0	-	24	0.000927
TOTAL	G_LOAD	initial	first	i32,p0	i16@32@not_atomic@not_atomic	Legal	0	-	23	0.000888
TOTAL	G_SEXT_INREG	generated	first	i32	-	Legal	0	-	23	0.000888
